Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
85	player up arrow ranking+90	Savion Williams	TCU	WR	6'4"	225	RSR	SR
86	--	Jake Briningstool	Clemson	TE	6'5"	230	SR	SR
87	--	Tai Felton	Maryland	WR	6'1"	186	SR	SR
88	--	Cameron Skattebo	Arizona State	RB	5'11"	215	SR	SR
89	player up arrow ranking+30	Josaiah Stewart	Michigan	EDGE	6'1"	237	SR	SR
90	--	Jo'Quavious Marks	USC	RB	5'10"	210	RSR	SR
91	player up arrow ranking+10	Donovan Ezeiruaku	Boston College	EDGE	6'2"	247	SR	SR
92	--	Zy Alexander	LSU	CB	6'2"	188	SR	SH
93	--	Jonah Monheim	USC	OC	6'5"	295	RSR	SR
94	--	Ollie Gordon II	Oklahoma State	RB	6'1"	211	JR	DRU
95	--	Lander Barton	Utah	OLB	6'4"	242	JR	
96	--	Jamon Dumas-Johnson	Kentucky	ILB	6'1"	245	RSR	SH
97	player up arrow ranking+10	Jared Ivey	Ole Miss	EDGE	6'6"	285	RSR	SR
98	player down arrow ranking -15	Ajani Cornelius	Oregon	OT	6'4"	310	SR	SR
99	--	Tory Horton	Colorado State	WR	6'1"	180	RSR	
100	--	Armand Membou	Missouri	OT	6'3"	314	JR	SR
101	--	Mason Taylor	LSU	TE	6'6"	255	JR	SR
102	--	Nick Singleton	Penn State	RB	6'0"	222	JR	
103	--	Rod Moore	Michigan	S	6'0"	185	SR	
104	player down arrow ranking -15	Jaeden Roberts	Alabama	OG	6'5"	316	RJR	
105	--	Jack Nelson	Wisconsin	OT	6'6"	310	RSR	SR
106	--	Ricky White III	UNLV	WR	6'1"	190	SR	SH
107	--	Dorian Strong	Virginia Tech	CB	6'0"	182	RSR	SR
108	--	Ashton Gillotte	Louisville	DL5T	6'3"	270	SR	DRO
109	--	Anthony Belton	NC State	OT	6'6"	336	RSR	SR
110	--	Andrew Mukuba	Texas	S	6'0"	185	SR	SR
111	--	Jason Marshall Jr.	Florida	CB	6'0"	198	SR	SH
